id,label,group,nodesize
Claudio Teodoro dos Santos,Claudio Teodoro dos Santos,2,3
Kleber Roberto Pirota,Kleber Roberto Pirota,3,3
Guido Rezende de Alencastro Graça,Guido Rezende de Alencastro Graça,2,3
Cristiane Evelise Ribeiro da Silva,Cristiane Evelise Ribeiro da Silva,2,3
Ernesto Chaves Pereira de Souza,Ernesto Chaves Pereira de Souza,3,3
Maysa Terada,Maysa Terada,16,3
Silgia Aparecida Costa,Silgia Aparecida Costa,4,3
Anderson Emanuel Ximim Gavim,Anderson Emanuel Ximim Gavim,7,3
Maria Leticia Vega,Maria Leticia Vega,7,3
Henrique Frulani de Paula Barbosa,Henrique Frulani de Paula Barbosa,7,3
Juliana Eccher,Juliana Eccher,7,3
Daniela Zambelli Mezalira,Daniela Zambelli Mezalira,7,3
Adilson J A de Oliveira,Adilson J A de Oliveira,7,3
Pedro Augusto de Paula Nascente,Pedro Augusto de Paula Nascente,19,3
Marcos Akira dÁvila,Marcos Akira dÁvila,19,3
Leice Gonçalves Amurin,Leice Gonçalves Amurin,10,3
Andrea Machado Costa,Andrea Machado Costa,19,3
Douglas Jose Coutinho,Douglas Jose Coutinho,7,3
Wilson José Da Silva,Wilson José Da Silva,7,3
Tatiana Bendo,Tatiana Bendo,10,3
Andreia Gerniski Macedo,Andreia Gerniski Macedo,7,3
Cristiano Binder,Cristiano Binder,10,3
Rafael Parra Ribeiro,Rafael Parra Ribeiro,10,3
Luís Miguel Pereira,Luís Miguel Pereira,7,3
Rodrigo Ferrão Martins,Rodrigo Ferrão Martins,7,3
José Fernando Queiruga Rey,José Fernando Queiruga Rey,17,3
Cibely Silva Martin,Cibely Silva Martin,10,3
Armstrong Godoy Junior,Armstrong Godoy Junior,10,3
Mateus Ribeiro Lage,Mateus Ribeiro Lage,17,3
Jailton Romão Viana,Jailton Romão Viana,17,3
Marcelo Fernandes Cipreste,Marcelo Fernandes Cipreste,10,3
Maria Luisa Braunger,Maria Luisa Braunger,7,3
Matthias Hillenkamp,Matthias Hillenkamp,10,3
Rafael C. Hensel,Rafael C. Hensel,10,3
Bruno  Henriques,Bruno  Henriques,4,3
Leonardo Francisco Gonçalves Dias,Leonardo Francisco Gonçalves Dias,18,3
Sara Aldabe Bilmes,Sara Aldabe Bilmes,10,3
Alexandre Luis Parize,Alexandre Luis Parize,10,3
Diogo Silva Pellosi,Diogo Silva Pellosi,10,3
Frederico Duarte de Menezes,Frederico Duarte de Menezes,10,3
Milton Alexandre Cardoso,Milton Alexandre Cardoso,10,3
Fábio Ruiz Simões,Fábio Ruiz Simões,10,3
Gabriela Martins de Araújo,Gabriela Martins de Araújo,10,3
Marylyn Setsuko Arai,Marylyn Setsuko Arai,10,3
Orisson Ponce Gomes,Orisson Ponce Gomes,18,3
Leliz Ticona Arenas,Leliz Ticona Arenas,10,3
Tania Maria Haas Costa,Tania Maria Haas Costa,10,3
João Pedro Costa Rheinheimer,João Pedro Costa Rheinheimer,18,3
Claudemiro Bolfarini,Claudemiro Bolfarini,10,3
Juliana Cancino Bernardi,Juliana Cancino Bernardi,18,3
Oswaldo Hideo Ando Junior,Oswaldo Hideo Ando Junior,10,3
Renan Augusto Pontes Ribeiro,Renan Augusto Pontes Ribeiro,18,3
Marcelo de Assunção Pereira-da-Silva,Marcelo de Assunção Pereira-da-Silva,10,3
Edison Zacarias da Silva,Edison Zacarias da Silva,18,3
Ramón Raudel Peña Garcia,Ramón Raudel Peña Garcia,8,3
Flávia Regina Estrada,Flávia Regina Estrada,8,3
Ana Carolyne da Silva Pereira,Ana Carolyne da Silva Pereira,8,3
Aldo E. Job,Aldo E. Job,18,3
Alexandre José de Castro Lanfredi,Alexandre José de Castro Lanfredi,10,3
Maria de Almeida Silva,Maria de Almeida Silva,8,3
Diego Ernesto González-Chávez,Diego Ernesto González-Chávez,7,3
Jhuliene Elen Torrento,Jhuliene Elen Torrento,19,3
Marcia Tsuyama Escote,Marcia Tsuyama Escote,10,3
Otávio Fernandes Lima da Rocha,Otávio Fernandes Lima da Rocha,16,3
Pedro Lana Gastelois,Pedro Lana Gastelois,22,3
Natalia Mayumi Inada,Natalia Mayumi Inada,22,3
Mirella Boaro Kobal,Mirella Boaro Kobal,22,3
Karina Alves Toledo,Karina Alves Toledo,22,3
Regina Bertília Dantas de Medeiros,Regina Bertília Dantas de Medeiros,12,3
Meysam Mashhadikarimi,Meysam Mashhadikarimi,12,3
Uílame Umbelino Gomes,Uílame Umbelino Gomes,12,3
Natália Aparecida Rocha Pinto,Natália Aparecida Rocha Pinto,22,3
Stephanne Yonara Barbosa de Carvalho,Stephanne Yonara Barbosa de Carvalho,22,3
Luiz Gustavo de Lima Guimarães,Luiz Gustavo de Lima Guimarães,22,3
Felipe Leon Nascimento de Sousa,Felipe Leon Nascimento de Sousa,4,3
Thomas L. Ellington,Thomas L. Ellington,12,3
Maiyara Carolyne Prete,Maiyara Carolyne Prete,10,3
Kevin L. Shuford,Kevin L. Shuford,12,3
Adilson Luiz Chinelatto,Adilson Luiz Chinelatto,1,3
Ingrid David Barcelos,Ingrid David Barcelos,12,3
Arandi Ginane Bezerra Jr,Arandi Ginane Bezerra Jr,4,3
Leonardo De Boni,Leonardo De Boni,4,3
Lucas Fiocco Sciuti,Lucas Fiocco Sciuti,4,3
Leandro Henrique Zucolotto Cocca,Leandro Henrique Zucolotto Cocca,4,3
Vágner Braga,Vágner Braga,4,3
Kelly Tasso de Paula,Kelly Tasso de Paula,4,3
Isabela Machado Horta,Isabela Machado Horta,4,3
Regiane Santana de Oliveira,Regiane Santana de Oliveira,4,3
Thibaut Robine,Thibaut Robine,4,3
Zhuorui Lu,Zhuorui Lu,4,3
Wilfried Blanc,Wilfried Blanc,4,3
Wilian Vidotto da Costa,Wilian Vidotto da Costa,12,3
Gerson Santos de Almeida,Gerson Santos de Almeida,19,3
Willian Fernando Zambuzzi,Willian Fernando Zambuzzi,19,3
Marcos Allan Leite dos Reis,Marcos Allan Leite dos Reis,10,3
Thiago Cazati,Thiago Cazati,7,3
Pablo Cesar Serrano Arambulo,Pablo Cesar Serrano Arambulo,7,3
Gisele Elias Nunes,Gisele Elias Nunes,7,3
Renê Santos de Amorim,Renê Santos de Amorim,7,3
Laura Oliveira Péres,Laura Oliveira Péres,7,3
Walajhone Oliveira Pereira,Walajhone Oliveira Pereira,17,3
João Pedro Oliveira,João Pedro Oliveira,17,3
Roman Alvarez Roca,Roman Alvarez Roca,11,3
Pedro Miguel da Rocha Rodrigues,Pedro Miguel da Rocha Rodrigues,20,3
Cid Bartolomeu de Araujo,Cid Bartolomeu de Araujo,7,3
Antônio Alves de Carvalho Júnior,Antônio Alves de Carvalho Júnior,17,3
Adalberto Fazzio,Adalberto Fazzio,11,3
Kelson de Sousa Leite,Kelson de Sousa Leite,17,3
Lígia Passos Maia-Obi,Lígia Passos Maia-Obi,20,3
Luiz Fernando Cótica,Luiz Fernando Cótica,16,3
Carlos Mera Acosta,Carlos Mera Acosta,11,3
Gleicy de Lima Xavier Ribeiro,Gleicy de Lima Xavier Ribeiro,16,3
Renato Spacini de Castro,Renato Spacini de Castro,16,3
Thalita Jessika Bondancia,Thalita Jessika Bondancia,22,3
Luis Vicente de Andrade Scalvi,Luis Vicente de Andrade Scalvi,4,3
Patrícia dos Santos Araújo,Patrícia dos Santos Araújo,13,3
Silma Alberton Corrêa,Silma Alberton Corrêa,15,3
Andre S Ferlauto,Andre S Ferlauto,1,3
Gustavo Dalpian,Gustavo Dalpian,1,3
Dennis Cabrera García,Dennis Cabrera García,2,3
Michael Noeske,Michael Noeske,13,3
Helen Conceição Ferraz,Helen Conceição Ferraz,13,3
André Avelino Pasa,André Avelino Pasa,1,3
Eliana Navarro dos Santos Muccillo,Eliana Navarro dos Santos Muccillo,1,3
Lorayne Aguiar,Lorayne Aguiar,13,3
Ieda Lúcia Viana Rosa,Ieda Lúcia Viana Rosa,15,3
Cláudio Backes,Cláudio Backes,1,3
Ary da Silva Maia,Ary da Silva Maia,15,3
Gutemberg Gomes Alves,Gutemberg Gomes Alves,2,3
Romildo Jerônimo Ramos,Romildo Jerônimo Ramos,2,3
Isadora Cota Carvalho,Isadora Cota Carvalho,15,3
Alexandre Marletta,Alexandre Marletta,2,3
Amanda Fernandes Gouveia,Amanda Fernandes Gouveia,15,3
Fabiano Rafael Praxedes,Fabiano Rafael Praxedes,1,3
Silvania Lanfredi,Silvania Lanfredi,1,3
RENE ALFONSO NOME,RENE ALFONSO NOME,1,3
Marcos Jose Leite Santos,Marcos Jose Leite Santos,14,3
Jéssica Helisa Hautrive Rossato,Jéssica Helisa Hautrive Rossato,1,3
Andre Luiz Martins de Freitas,Andre Luiz Martins de Freitas,1,3
Josy A. Osajima,Josy A. Osajima,15,3
Tauany de Figueiredo Neves,Tauany de Figueiredo Neves,15,3
Leandro Benatto,Leandro Benatto,2,3
José Humberto Dias da Silva,José Humberto Dias da Silva,1,3
Cláudia Karina Barbosa de Vasconcelos,Cláudia Karina Barbosa de Vasconcelos,2,3
Marlus Koehler,Marlus Koehler,2,3
Natália Gabriele Camparotto,Natália Gabriele Camparotto,15,3
Alberto Moreira Jorge Junior,Alberto Moreira Jorge Junior,13,3
Cezar Augusto Moreira,Cezar Augusto Moreira,15,3
Érica Signori Romagnoli,Érica Signori Romagnoli,1,3
Patricia Prediger,Patricia Prediger,15,3
Terje Finstad,Terje Finstad,1,3
